Period,sp500,1m_Tbill,MCD,LUV,AIG
19970131,0.061317,0.0045,0.002755,0,0.118938
19970228,0.005928,0.0039,-0.047802,0.068707,-0.001032
19970331,-0.042614,0.0043,0.092486,-0.058511,-0.029132
19970430,0.058406,0.0043,0.132275,0.242938,0.094782
19970530,0.058577,0.0049,-0.059206,-0.063216,0.053502
19970630,0.043453,0.0037,-0.038557,0.004854,0.104155
19970731,0.078123,0.0043,0.112549,0.120773,0.069456
19970829,-0.057446,0.0041,-0.118233,-0.034084,-0.11385
19970930,0.053154,0.0044,0.006605,0.142857,0.094172
19971031,-0.034478,0.0042,-0.059055,0.019531,-0.010902
19971128,0.044587,0.0039,0.084128,0.123563,-0.012247
19971231,0.015732,0.0048,-0.015464,0.008082,0.079479
19980130,0.01015,0.0043,-0.013089,0.058376,0.014368
19980227,0.070449,0.0039,0.159576,0.100719,0.089518
19980331,0.049946,0.0039,0.099656,0.03085,0.048466
19980430,0.009076,0.0043,0.03125,-0.071882,0.044665
19980529,-0.018826,0.004,0.062061,-0.027335,-0.058907
19980630,0.039438,0.0041,0.051429,0.108103,0.179808
19980731,-0.011615,0.004,-0.031703,0.114165,0.032962
19980831,-0.145797,0.0043,-0.154874,-0.188463,-0.23104
19980930,0.062396,0.0046,0.058758,0.136842,0.014467
19981030,0.080294,0.0032,0.12356,0.04321,0.088517
19981130,0.059126,0.0031,0.046076,0.026627,0.101832
19981231,0.056375,0.0038,0.096343,0.046455,0.028521
19990129,0.041009,0.0035,0.026037,0.187328,0.06533
19990226,-0.032283,0.0035,0.078509,0.118329,0.106861
19990331,0.038794,0.0043,0.067324,0.004398,0.059186
19990430,0.037944,0.0037,-0.064828,0.076446,-0.030052
19990528,-0.02497,0.0034,-0.090295,-0.015355,-0.02297
19990630,0.054438,0.004,0.068182,-0.028982,0.026187
19990730,-0.032046,0.0038,0.013678,-0.108434,-0.009595
19990831,-0.006254,0.0039,-0.006327,-0.097676,-0.002287
19990930,-0.028552,0.0039,0.045317,-0.089888,-0.061497
19991029,0.062539,0.0039,-0.046243,0.106996,0.18404
19991130,0.019062,0.0036,0.095127,-0.02974,0.008379
19991231,0.057844,0.0044,-0.106648,-0.011157,0.042169
20000131,-0.050904,0.0041,-0.072868,-0.011628,-0.034682
20000229,-0.020108,0.0043,-0.153846,0.156863,-0.152695
20000331,0.09672,0.0047,0.181818,0.129112,0.238728
20000428,-0.030796,0.0046,0.018395,0.042042,0.001712
20000531,-0.021915,0.005,-0.059113,-0.11502,0.026667
20000630,0.023934,0.004,-0.080279,-0.013029,0.043865
20000731,-0.016341,0.0048,-0.043643,0.247525,0.119415
20000831,0.060699,0.005,-0.051587,-0.042328,0.016815
20000929,-0.053483,0.0051,0.01046,0.072066,0.073633
20001031,-0.004949,0.0056,0.026915,0.175258,0.024167
20001130,-0.080069,0.0051,0.035161,0.107456,-0.010464
20001229,0.004053,0.005,0.066667,0.062511,0.016763
20010131,0.034637,0.0054,-0.136765,-0.065613,-0.1374
20010228,-0.092291,0.0038,0.001704,-0.109264,-0.037438
20010330,-0.064205,0.0042,-0.096939,-0.045699,-0.015892
20010430,0.076814,0.0039,0.035782,0.025915,0.016149
20010531,0.00509,0.0032,0.101091,0.098298,-0.009328
20010629,-0.025004,0.0028,-0.106341,-0.075275,0.049506
20010731,-0.010772,0.003,0.076866,0.082207,-0.020703
20010831,-0.064108,0.0031,0.030542,-0.105722,-0.060156
20010928,-0.081723,0.0028,-0.096237,-0.170486,-0.002558
20011031,0.018099,0.0022,-0.039425,0.071429,0.007692
20011130,0.075176,0.0017,0.038166,0.179245,0.048346
20011231,0.007574,0.0015,-0.013785,-0.01416,-0.035898
20020131,-0.015574,0.0014,0.026823,0.024892,-0.066121
20020228,-0.020766,0.0013,-0.039735,0.11481,-0.001861
20020328,0.036739,0.0013,0.063218,-0.083373,-0.02474
20020430,-0.061418,0.0015,0.023423,-0.058915,-0.041863
20020531,-0.009081,0.0014,0.054225,-0.064799,-0.031105
20020628,-0.072465,0.0013,-0.049766,-0.050822,0.019442
20020731,-0.078995,0.0015,-0.130053,-0.145421,-0.063169
20020830,0.004881,0.0014,-0.04,0.02929,-0.017522
20020930,-0.110013,0.0014,-0.256734,-0.080929,-0.128232
20021031,0.086436,0.0014,0.025481,0.117917,0.14351
20021129,0.05707,0.0012,0.034511,0.143836,0.041567
20021231,-0.060333,0.0011,-0.130811,-0.167395,-0.111328
20030131,-0.027415,0.001,-0.114428,-0.061151,-0.064477
20030228,-0.017004,0.0009,-0.044242,-0.075096,-0.089246
20030331,0.008358,0.001,0.062454,0.190099,0.0042
20030430,0.081044,0.001,0.182573,0.111421,0.171891
20030530,0.050899,0.0009,0.095322,0.006892,-0.001208
20030630,0.011322,0.001,0.17779,0.070597,-0.045836
20030731,0.016224,0.0007,0.043064,-0.04593,0.163465
20030829,0.017873,0.0007,-0.025641,0.041712,-0.072118
20030930,-0.011944,0.0008,0.049955,0.035693,-0.0303
20031031,0.054962,0.0007,0.062022,0.096045,0.054246
20031128,0.007129,0.0007,0.0412,-0.073196,-0.047345
20031231,0.050765,0.0008,-0.031213,-0.102086,0.144866
20040130,0.017276,0.0007,0.036649,-0.07373,0.047827
20040227,0.012209,0.0006,0.099456,-0.076254,0.065515
20040331,-0.016359,0.0009,0.009541,0.02929,-0.034932
20040430,-0.016791,0.0008,-0.046902,0.004926,0.004205
20040528,0.012083,0.0006,-0.030481,0.086134,0.023029
20040630,0.017989,0.0008,-0.015152,0.081528,-0.026671
20040730,-0.034291,0.001,0.057692,-0.13715,-0.008838
20040831,0.002287,0.0011,-0.017455,0.024499,0.008351
20040930,0.009364,0.0011,0.03738,-0.080972,-0.044568
20041029,0.014014,0.0011,0.039957,0.157856,-0.107075
20041130,0.038595,0.0015,0.073413,-0.002537,0.043485
20041231,0.032458,0.0016,0.042941,0.035251,0.037806
20050131,-0.02529,0.0016,0.010293,-0.110565,0.009441
20050228,0.018903,0.0016,0.021303,-0.043508,0.007694
20050331,-0.019118,0.0021,-0.058646,0.028484,-0.168638
20050429,-0.020109,0.0021,-0.058767,0.044944,-0.082296
20050531,0.029952,0.0024,0.055612,-0.022177,0.092429
20050630,-0.000143,0.0023,-0.103103,-0.042302,0.048155
20050729,0.035968,0.0024,0.123243,0.018665,0.036145
20050831,-0.011222,0.003,0.041065,-0.060994,-0.01412
20050930,0.006949,0.0029,0.032049,0.114865,0.046622
20051031,-0.017741,0.0027,-0.056435,0.078114,0.045836
20051130,0.035186,0.0031,0.092405,0.030606,0.038426
20051230,-0.000952,0.0032,-0.00384,-0.00397,0.016235
20060131,0.025467,0.0035,0.038256,0.001826,-0.040598
20060228,0.000453,0.0034,-0.002856,0.019107,0.013749
20060331,0.011065,0.0037,-0.015755,0.072749,-0.001808
20060428,0.012187,0.0036,0.006112,-0.098388,-0.01271
20060531,-0.030917,0.0043,-0.040498,-0.007398,-0.0659
20060630,0.000087,0.004,0.012964,0.01705,-0.028783
20060731,0.005086,0.004,0.053274,0.098961,0.027434
20060831,0.021274,0.0042,0.014411,-0.036993,0.05464
20060929,0.024566,0.0041,0.089694,-0.038106,0.038233
20061031,0.031508,0.0041,0.07475,-0.097839,0.013734
20061130,0.016467,0.0042,0.025048,0.045243,0.049352
20061229,0.012616,0.004,0.056231,-0.024539,0.019056
20070131,0.014059,0.0044,0.000451,-0.01436,-0.044795
20070228,-0.021846,0.0038,-0.014882,0.001622,-0.017166
20070330,0.00998,0.0043,0.031128,-0.027778,0.001639
20070430,0.043291,0.0044,0.071698,-0.023809,0.040018
20070531,0.032549,0.0041,0.047017,-0.002787,0.037119
20070629,-0.017816,0.004,0.004154,0.042243,-0.031933
20070731,-0.031982,0.004,-0.056935,0.050302,-0.083536
20070831,0.012864,0.0042,0.028828,-0.034834,0.028358
20070928,0.035794,0.0032,0.10599,-0.020516,0.02803
20071031,0.014822,0.0032,0.096932,-0.039865,-0.066962
20071130,-0.044043,0.0034,0.003684,-0.004222,-0.079056
20071231,-0.008628,0.0027,0.007525,-0.137491,0.006365
20080131,-0.061163,0.0021,-0.090477,-0.039344,-0.057118
20080229,-0.034761,0.0013,0.016891,0.046459,-0.147535
20080331,-0.00596,0.0017,0.030678,0.011419,-0.07277
20080430,0.047547,0.0018,0.068316,0.067742,0.068208
20080530,0.010674,0.0018,-0.004364,-0.013595,-0.220779
20080630,-0.085962,0.0017,-0.045937,-0.001187,-0.259444
20080731,-0.009859,0.0015,0.063501,0.195552,-0.015495
20080829,0.012191,0.0013,0.043235,-0.022803,-0.175048
20080930,-0.090791,0.0015,-0.004839,-0.047275,-0.834807
20081031,-0.169425,0.0008,-0.061102,-0.188146,-0.426426
20081128,-0.074849,0.0003,0.022786,-0.265705,0.052356
20081231,0.007822,0,0.058553,-0.002948,-0.218905
20090130,-0.085657,0,-0.067053,-0.184455,-0.184713
20090227,-0.109931,0.0001,-0.090831,-0.161522,-0.671875
20090331,0.085405,0.0002,0.044402,0.074703,1.380952
20090430,0.093925,0.0001,-0.023456,0.102686,0.38
20090529,0.053081,0,0.106962,-0.034384,0.224638
20090630,0.000196,0.0001,-0.016952,-0.000816,-0.31361
20090731,0.074142,0.0001,-0.042268,0.166419,-0.433621
20090831,0.03356,0.0001,0.030512,0.042038,2.449772
20090930,0.035723,0.0001,0.014758,0.174144,-0.026914
20091030,-0.019762,0,0.026984,-0.125,-0.237815
20091130,0.057364,0,0.088551,0.095238,-0.155265
20091231,0.017771,0.0001,-0.012806,0.24288,0.055634
20100129,-0.036974,0,-0.00016,-0.008749,-0.191795
20100226,0.028514,0,0.031555,0.110327,0.022286
20100331,0.058796,0.0001,0.044949,0.051232,0.37828
20100430,0.014759,0.0001,0.058004,-0.003026,0.139426
20100528,-0.081976,0.0001,-0.044907,-0.056146,-0.090488
20100630,-0.053882,0.0001,-0.014954,-0.106551,-0.026569
20100730,0.068778,0.0001,0.0586,0.084609,0.117015
20100831,-0.047449,0.0001,0.055643,-0.082614,-0.118014
20100930,0.087551,0.0001,0.019847,0.182805,0.152372
20101029,0.036856,0.0001,0.043752,0.052793,0.074425
20101130,-0.00229,0.0001,0.014659,-0.031977,-0.017139
20101231,0.0653,0.0001,-0.019668,-0.025188,0.395495
20110131,0.022646,0.0001,-0.040255,-0.087057,-0.163168
20110228,0.031957,0.0001,0.035564,-0.001688,-0.081536
20110331,-0.001047,0.0001,0.005417,0.068005,-0.051808
20110429,0.028495,0,0.029176,-0.069675,-0.113546
20110531,-0.013501,0,0.049036,0.006809,-0.085072
20110630,-0.018258,0,0.034094,-0.034277,0.028772
20110729,-0.021474,0,0.025617,-0.127846,-0.021146
20110831,-0.056791,0.0001,0.052498,-0.134086,-0.117422
20110930,-0.071762,0,-0.028647,-0.067285,-0.133439
20111031,0.107723,0,0.057276,0.063433,0.124829
20111130,-0.005059,0,0.036295,-0.019883,-0.055893
20111230,0.008533,0,0.050356,0.022017,-0.004719
20120131,0.043583,0,-0.012758,0.119159,0.082328
20120229,0.040589,0,0.009389,-0.062161,0.16368
20120330,0.031332,0,-0.011886,-0.082405,0.055099
20120430,-0.007497,0,-0.006626,0.004854,0.103795
20120531,-0.062651,0.0001,-0.076039,0.09058,-0.142521
20120629,0.039555,0,-0.009066,0.022148,0.099726
20120731,0.012598,0,0.009375,-0.003254,-0.025553
20120831,0.019763,0.0001,0.009288,-0.026115,0.097857
20120928,0.024236,0.0001,0.025254,-0.019016,-0.044859
20121031,-0.019789,0.0001,-0.053951,0.005701,0.065264
20121130,0.002847,0.0001,0.011636,0.080499,-0.051532
20121231,0.007068,0.0001,0.013442,0.075551,0.065499
20130131,0.050428,0,0.080263,0.094727,0.071671
20130228,0.011061,0,0.014482,0.043711,0.004758
20130328,0.035988,0,0.03952,0.152991,0.02131
20130430,0.018086,0,0.024576,0.01632,0.066976
20130531,0.020763,0,-0.046994,0.034307,0.073395
20130628,-0.014999,0,0.025163,-0.087509,0.005398
20130731,0.049462,0,-0.009293,0.072925,0.018121
20130830,-0.031298,0,-0.030078,-0.07086,0.020875
20130930,0.029749,0,0.019606,0.136612,0.048859
20131031,0.044596,0,0.003222,0.182692,0.062102
20131129,0.028049,0,0.017199,0.079559,-0.036786
20131231,0.023563,0,-0.003492,0.0156,0.028141
20140131,-0.035583,0,-0.029475,0.111996,-0.060529
20140228,0.043117,0,0.019008,0.071122,0.03774
20140331,0.006932,0,0.030268,0.053922,0.007334
20140430,0.006201,0,0.034173,0.023719,0.062388
20140530,0.02103,0,0.008483,0.094332,0.017692
20140630,0.019058,0,-0.006803,0.017769,0.011744
20140731,-0.01508,0,-0.061346,0.052867,-0.047637
20140829,0.037655,0,-0.000317,0.134017,0.078492
20140930,-0.015514,0,0.01163,0.054983,-0.03416
20141031,0.023201,0,-0.011391,0.021025,-0.00833
20141128,0.024534,0,0.041929,0.212877,0.022961
20141231,-0.004189,0,-0.032125,0.013391,0.024361
20150130,-0.031041,0,-0.013447,0.06758,-0.127477
20150227,0.054893,0,0.079078,-0.042939,0.132188
20150331,-0.017396,0,-0.014762,0.025902,-0.0075
20150430,0.008521,0,-0.009134,-0.084424,0.027377
20150529,0.010491,0,0.002382,-0.086539,0.041215
20150630,-0.021012,0,-0.008965,-0.104858,0.056902
20150731,0.019742,0,0.050384,0.093986,0.037205
20150831,-0.062581,0,-0.039956,0.015884,-0.058952
20150930,-0.026443,0,0.03694,0.036512,-0.053696
20151030,0.082983,0,0.139247,0.216877,0.109821
20151130,0.000505,0,0.024944,-0.008857,0.008246
20151231,-0.01753,0.0001,0.034863,-0.05983,-0.020919
20160129,-0.050735,0.0001,0.04774,-0.126335,-0.088591
20160229,-0.004128,0.0002,-0.046049,0.115098,-0.11119
20160331,0.065991,0.0002,0.072446,0.069726,0.083068
20160429,0.002699,0.0001,0.006445,-0.004241,0.032747
20160531,0.015329,0.0001,-0.035023,-0.047747,0.036904
20160630,0.000906,0.0002,-0.0068,-0.074623,-0.080684
20160729,0.03561,0.0002,-0.022353,-0.056108,0.029306
20160831,-0.001219,0.0002,-0.00935,-0.000811,0.099008
20160930,-0.001234,0.0002,-0.002594,0.054501,-0.002841
20161031,-0.019426,0.0002,-0.024185,0.029828,0.039771
20161130,0.034174,0.0001,0.067869,0.163795,0.026418
20161230,0.018201,0,0.020542,0.071444,0.036318
