Year,Month,Day,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10,MKT_vw
1926,7,1,0.58,-0.13,0.68,-0.06,-0.38,-0.07,-0.08,-0.06,0.08,0.18,0.109
1926,7,2,-0.53,-0.4,0.16,0.1,0.29,0.36,0.51,0.41,0.37,0.52,0.459
1926,7,6,-0.33,0.61,-0.38,0.23,0.68,0.33,0.15,0.33,0.11,0.16,0.179
1926,7,7,0.28,-0.1,-0.4,-0.54,0.31,0.17,0.19,0.16,-0.04,0.13,0.099
1926,7,8,0.55,-0.9,0.04,0.23,-0.06,0.28,0.17,0.2,0.2,0.27,0.219
1926,7,9,-0.57,0.77,-0.04,0.09,-0.66,-0.07,-0.54,-0.87,-0.64,-0.78,-0.701
1926,7,10,0.73,0.05,0.24,0.35,-0.1,0.72,0.42,0.51,0.78,0.65,0.629
1926,7,12,0.38,0.26,0.03,0.53,-0.05,0.04,0.12,-0.15,0.13,0.04,0.049
1926,7,13,1.07,0.01,0.16,0.14,0.17,0.69,0.42,0.48,0.23,0.58,0.489
1926,7,14,-1.2,0.07,-0.28,0.05,0.37,-0.33,0.44,-0.01,0.15,0.01,0.049
1926,7,15,1.48,-0.15,0.35,-0.34,-0.22,-0.32,-0.51,-0.58,-0.51,-0.4,-0.421
1926,7,16,0.03,0.98,-0.11,0.69,0.62,0.59,0.35,0.56,0.75,0.48,0.539
1926,7,17,-0.21,0.31,0.48,0.55,0.93,-0.09,0.17,0.29,0.32,0.37,0.349
1926,7,19,0.45,-0.29,-0.33,0.32,-0.13,-0.19,-0.38,0.37,0.18,-0.04,-0.001
1926,7,20,-1.38,-0.7,-0.78,-0.72,-0.82,-0.46,-0.83,0.68,-0.79,-0.62,-0.561
1926,7,21,-0.25,-1.19,-0.21,-0.58,-0.1,-0.41,-0.12,-1.88,-0.62,-0.42,-0.591
1926,7,22,-1.47,-1.37,-1.17,-0.62,-1.18,-0.36,-0.63,-1.04,-0.85,-0.64,-0.721
1926,7,23,0.41,-0.07,0.04,0,0.03,-0.01,-0.05,0.07,0.17,-0.07,-0.011
1926,7,24,0.63,0.94,0.32,0.33,0.09,0.18,-0.14,-0.15,-0.19,-0.18,-0.131
1926,7,26,-0.98,0.48,-0.76,0.19,0.36,0.15,0.4,0.18,0.38,0.68,0.539
1926,7,27,0.39,0.48,0.34,0.01,0.2,0.33,0.23,0.63,0.6,0.42,0.439
1926,7,28,0.71,1.19,1.08,0.92,1.06,0.19,1.32,0.86,1.37,1.09,1.099
1926,7,29,-0.91,-0.87,-0.04,-0.37,-0.39,0.09,-0.05,-0.05,0.24,0.58,0.369
1926,7,30,-0.3,-0.11,0.42,-0.31,-0.11,0.03,-0.36,-0.02,0.33,0.24,0.149
1926,7,31,-0.1,0.76,0.08,0.23,0.32,0.21,0.38,0.43,0.77,0.42,0.469
1926,8,2,1.9,-0.04,0.38,0.78,0.71,0.63,0.82,0.25,0.74,1.01,0.85
1926,8,3,-0.63,0.05,1.9,0.61,0.39,0.65,0.65,0.39,-0.04,0.64,0.48
1926,8,4,0.12,0.26,-0.16,-0.5,-0.17,0.37,0.11,-0.42,-0.18,-0.48,-0.35
1926,8,5,0.18,0.44,-0.09,0.18,0.15,0.53,0.29,-0.23,-0.17,-0.12,-0.08
1926,8,6,0.32,2.04,0.72,1.06,0.96,0.49,0.72,0.48,0.76,0.68,0.69
1926,8,7,0.49,-0.52,0.87,0.65,0.39,0.17,0.08,0.25,0.34,0.59,0.47
1926,8,9,-0.47,0.51,-0.04,0.26,0,0.27,1.08,0.37,0,0.19,0.22
1926,8,10,-2.4,-0.43,-0.46,-1.5,-1.4,-0.92,-1.39,-1.01,-1.12,-1.58,-1.39
1926,8,11,2.38,-0.3,-0.22,-0.48,-0.47,0.16,-0.69,-0.44,-0.75,-0.56,-0.56
1926,8,12,-0.64,0.28,0.23,0.65,0.31,0.5,0.21,0.54,0.89,1.01,0.85
