,Mkt-RF,SMB,HML,RF
196307,-0.44,-0.45,-1.17,0.27
196308,5.02,-1.03,1.8,0.25
196309,-1.46,-0.21,0.08,0.27
196310,2.48,-0.7,-0.2,0.29
196311,-0.83,-1.21,1.62,0.27
196312,1.88,-2.17,0.05,0.29
196401,2.28,-0.27,1.37,0.3
196402,1.46,-0.04,2.79,0.26
196403,1.45,0.94,2.94,0.31
196404,0.17,-1.37,-0.67,0.29
196405,1.48,-0.75,1.23,0.26
196406,1.21,-0.31,0.72,0.3
196407,1.71,0.32,0.75,0.3
196408,-1.41,-0.09,0.27,0.28
196409,2.77,-0.56,1.72,0.28
196410,0.6,0.37,1.08,0.29
196411,0.02,0.57,-1.99,0.29
196412,0.06,-0.01,-2.77,0.31
196501,3.59,2.29,0.57,0.28
196502,0.4,3.21,0.34,0.3
196503,-1.33,1.86,1.18,0.36
196504,3.05,1.13,0.61,0.31
196505,-0.75,0.08,-1.5,0.31
196506,-5.54,-4.06,0.31,0.35
196507,1.36,0.7,2.19,0.31
196508,2.76,2.81,-0.87,0.33
196509,2.88,0.31,0,0.31
196510,2.62,2.53,1.84,0.31
196511,-0.05,4.53,0.4,0.35
196512,1.02,1.97,2.06,0.33
196601,0.83,3.92,3.45,0.38
196602,-1.21,4.55,0.7,0.35
196603,-2.47,0.97,-1.97,0.38
196604,2.14,3.35,-0.48,0.34
196605,-5.66,-4.22,-2,0.41
196606,-1.41,1.06,0.61,0.38
196607,-1.64,-0.22,0.88,0.35
196608,-7.95,-3.24,0.36,0.41
196609,-1.1,-1.1,0.56,0.4
196610,3.78,-6.73,2.9,0.45
196611,1.35,4.15,-4.58,0.4
196612,0.22,1.83,-1.32,0.4
196701,8.12,8.04,2.21,0.43
196702,0.74,3.4,-2.23,0.36
196703,3.95,1.54,0.44,0.39
196704,3.84,0.62,-2.65,0.32
196705,-4.26,2.05,0.96,0.33
196706,2.42,5.75,1.2,0.27
196707,4.6,3.06,2.46,0.32
196708,-0.93,0.46,1.35,0.31
196709,3.11,3.03,-2.47,0.32
196710,-3.13,1.65,-3.4,0.39
196711,0.43,0.21,-1.91,0.36
196712,3.04,5.9,-0.58,0.33
196801,-4.03,3.57,4.05,0.4
196802,-3.75,-2.54,0.88,0.39
196803,0.13,-1.72,-0.22,0.38
196804,8.98,5.8,-1.53,0.43
196805,2.25,6.23,1.11,0.45
196806,0.72,-0.35,0.76,0.43
196807,-2.68,-1.52,5.57,0.48
196808,1.38,2.45,0.92,0.42
196809,4.02,2.95,0.15,0.43
196810,0.46,-0.46,2.79,0.44
196811,5.43,2.19,-0.83,0.42
196812,-3.82,3.64,-0.13,0.43
196901,-1.2,-0.91,1.44,0.53
196902,-5.82,-3.89,0.9,0.46
196903,2.59,0,-0.67,0.46
196904,1.52,-1,0.14,0.53
196905,0.02,0.14,0.65,0.48
196906,-7.25,-5.3,-1.09,0.51
196907,-7.05,-3.2,1.26,0.53
196908,4.65,0.8,-3.76,0.5
196909,-2.88,1.06,-3.18,0.62
196910,4.96,3.6,-3.24,0.6
196911,-3.74,-2.63,-1,0.52
